index,name,phase,mu,x0,mu_lit,min_mu,max_mu,mu_given
4,OH-,liquid,,1.37E-09,-1.63E+00,-1.68,-1.58,FALSE
6,H2,gas,,0.00E+00,0.00E+00,-0.05,0.05,FALSE
7,*H,surface,,0.00E+00,,,,FALSE
8,*H2O,surface,,0.00E+00,,,,FALSE
11,*COOH,surface,,0.00E+00,,,,FALSE
12,*CO,surface,,0.00E+00,,,,FALSE
13,*CO2-,surface,,0.00E+00,,,,FALSE
16,*CO2,surface,,0.00E+00,,,,FALSE
17,*OCHO,surface,,0.00E+00,,,,FALSE
20,*COH,surface,,0.00E+00,,,,FALSE
21,*C,surface,,0.00E+00,,,,FALSE
22,*CH,surface,,0.00E+00,,,,FALSE
23,*CH2,surface,,0.00E+00,,,,FALSE
24,*CH3,surface,,0.00E+00,,,,FALSE
26,*CHO,surface,,0.00E+00,,,,FALSE
27,**CH2O,surface,,0.00E+00,,,,FALSE
29,*CHOH,surface,,0.00E+00,,,,FALSE
30,**CH2OH,surface,,0.00E+00,,,,FALSE
31,*CH2OH,surface,,0.00E+00,,,,FALSE
32,*OCH3,surface,,0.00E+00,,,,FALSE
34,*O,surface,,0.00E+00,,,,FALSE
35,**OCCO,surface,,0.00E+00,,,,FALSE
36,**(CO)2,surface,,0.00E+00,,,,FALSE
37,**COHCO,surface,,0.00E+00,,,,FALSE
38,*CCO,surface,,0.00E+00,,,,FALSE
39,**COCOH,surface,,0.00E+00,,,,FALSE
40,*CHCO,surface,,0.00E+00,,,,FALSE
41,***CH2CO,surface,,0.00E+00,,,,FALSE
42,**OCHCH2,surface,,0.00E+00,,,,FALSE
43,**CH2OCH2,surface,,0.00E+00,,,,FALSE
44,**CHCH2O,surface,,0.00E+00,,,,FALSE
45,**CHOHCH2O,surface,,0.00E+00,,,,FALSE
46,**COHCH2O,surface,,0.00E+00,,,,FALSE
47,*COHCH2O,surface,,0.00E+00,,,,FALSE
49,**COCH2O,surface,,0.00E+00,,,,FALSE
50,**COCHOH,surface,,0.00E+00,,,,FALSE
51,*COCHO,surface,,0.00E+00,,,,FALSE
52,**COCHO,surface,,0.00E+00,,,,FALSE
53,**OCHCH,surface,,0.00E+00,,,,FALSE
54,**CHOCHOH,surface,,0.00E+00,,,,FALSE
55,**CHOCH2OH,surface,,0.00E+00,,,,FALSE
56,*OCHCH2,surface,,0.00E+00,,,,FALSE
57,**CHOCHO,surface,,0.00E+00,,,,FALSE
59,**OHCH2CH2,surface,,0.00E+00,,,,FALSE
60,*OH,surface,,0.00E+00,,,,FALSE
61,**CHOHCH2,surface,,0.00E+00,,,,FALSE
62,*CH2CH2OH,surface,,0.00E+00,,,,FALSE
64,**OHCHCH2,surface,,0.00E+00,,,,FALSE
65,**CHCH2,surface,,0.00E+00,,,,FALSE
1,*,surface,0,1.00E+00,0.00E+00,0,0,TRUE
2,e-,solid,0,1.00E+00,0.00E+00,0,0,TRUE
3,H2O,liquid,-2.43,1.00E+00,-2.46E+00,-2.51,-2.41,TRUE
5,H+,liquid,0.019,2.86E-09,0.00E+00,-0.05,0.05,TRUE
9,CO2,liquid,-4.01,2.00E-04,-4.00E+00,-4.05,-3.95,TRUE
10,CO,liquid,-1.3,0.00E+00,-1.24E+00,-1.43,-1.23,TRUE
18,HCOOH,liquid,-3.85,0.00E+00,-3.86E+00,-3.91,-3.81,TRUE
19,HCOO-,liquid,-3.65,0.00E+00,-3.64E+00,-3.69,-3.59,TRUE
25,CH4,gas,-0.48,0.00E+00,-5.30E-01,-0.58,-0.48,TRUE
28,CH2O,gas,-1.06,0.00E+00,-1.06E+00,-1.11,-1.01,TRUE
33,CH3OH,liquid,-1.83,0.00E+00,-1.82E+00,-1.87,-1.77,TRUE
48,CH3COOH,liquid,-4.15,0.00E+00,-4.11E+00,-4.16,-4.06,TRUE
58,C2H4,gas,0.75,0.00E+00,7.10E-01,0.65,0.75,TRUE
63,CH3CH2OH,liquid,-1.86,0.00E+00,-1.88E+00,-1.93,-1.83,TRUE
66,N2,gas,0,1.00E+00,0.00E+00,0,0,TRUE
